farm_id,region,crop,area_hectares,fertilizer_kg,irrigation_used,yield_kg
1,Oromia,Sorghum,0.55,22.14,False,3701.01
2,Tigray,Maize,7.73,84.51,False,2488.7
3,Oromia,Coffee,0.84,8.4,False,904.98
4,SNNP,Maize,7.58,147.98,True,3390.81
5,SNNP,Wheat,2.42,183.62,True,2061.84
6,Tigray,Maize,9.6,56.01,False,2518.83
7,Sidama,Maize,4.0,171.67,False,2365.41
8,Tigray,Wheat,3.61,58.44,False,2456.93
9,Oromia,Sorghum,1.91,182.15,False,2410.49
10,Tigray,Sorghum,3.4,150.79,True,2134.06
11,Amhara,Maize,8.83,160.98,False,2597.71
12,Oromia,Wheat,9.97,3.6,False,1968.68
13,Oromia,Wheat,4.0,192.56,False,2994.44
14,Sidama,Coffee,4.76,145.33,False,924.66
15,SNNP,Sorghum,7.36,60.95,False,2253.27
16,Oromia,Teff,8.92,165.88,True,1066.51
17,SNNP,Sorghum,6.13,56.3,False,2637.76
18,Tigray,Sorghum,4.22,174.55,False,2100.73
19,Amhara,Coffee,4.42,22.52,False,1162.4
20,Sidama,Teff,7.11,140.74,False,1307.38
21,SNNP,Coffee,0.53,108.14,True,878.65
22,Oromia,Teff,6.39,19.31,True,1404.43
23,SNNP,Maize,3.88,48.38,False,2210.27
24,Oromia,Teff,8.04,2.48,False,1526.7
25,SNNP,Coffee,1.38,93.75,True,822.91
26,Oromia,Sorghum,6.09,60.25,True,2975.07
27,Tigray,Teff,5.07,119.67,False,1140.61
28,Oromia,Teff,6.6,59.45,True,1595.18
29,Oromia,Wheat,1.12,59.98,False,2700.67
30,Amhara,Sorghum,6.01,148.64,False,3591.25
31,Oromia,Maize,5.83,9.63,False,2315.24
32,Amhara,Coffee,5.83,180.58,True,840.91
33,Sidama,Maize,6.23,170.45,True,1984.21
34,Amhara,Sorghum,6.93,133.56,False,2235.35
35,Tigray,Teff,8.15,118.64,False,1385.61
36,Amhara,Teff,3.06,178.46,False,1538.8
37,Sidama,Sorghum,8.34,37.07,True,3982.51
38,Tigray,Teff,5.23,15.79,False,1171.01
39,SNNP,Teff,1.23,47.9,False,920.04
40,SNNP,Teff,1.06,158.92,False,1426.0
41,Amhara,Coffee,3.68,6.93,False,574.43
42,Amhara,Coffee,7.96,116.56,False,912.86
43,Sidama,Wheat,7.22,199.09,False,2248.87
44,Sidama,Maize,7.99,171.14,True,2605.8
45,Oromia,Sorghum,5.41,104.29,False,3045.52
46,Sidama,Sorghum,4.68,12.73,True,2444.63
47,Oromia,Sorghum,1.9,166.27,False,2966.44
48,Tigray,Wheat,3.62,119.8,False,2936.58
49,Amhara,Coffee,4.62,22.99,True,427.13
50,Tigray,Wheat,1.34,18.77,False,2049.2
51,Sidama,Sorghum,2.6,181.93,True,1719.1
52,Tigray,Maize,6.18,133.84,False,3500.87
53,Tigray,Teff,7.49,165.86,False,1168.38
54,Tigray,Coffee,9.98,175.8,True,1156.17
55,Sidama,Coffee,9.36,114.35,False,473.41
56,Tigray,Wheat,6.6,103.49,False,2213.62
57,Oromia,Coffee,4.5,86.09,True,960.1
58,Sidama,Sorghum,6.54,63.39,True,2589.64
59,Tigray,Sorghum,7.96,86.92,False,2766.43
60,Sidama,Wheat,1.62,154.78,False,1873.1
61,SNNP,Sorghum,4.39,120.38,False,3188.4
62,Oromia,Maize,8.48,178.5,True,2888.51
63,Tigray,Wheat,4.15,88.68,True,2700.81
64,SNNP,Maize,5.93,121.42,False,2157.19
65,SNNP,Teff,6.08,126.26,True,1297.14
66,Sidama,Maize,2.25,118.34,True,2354.26
67,SNNP,Teff,3.94,140.53,True,704.85
68,Oromia,Teff,3.68,47.49,False,1184.87
69,Oromia,Maize,0.75,102.47,False,2421.63
70,Amhara,Wheat,0.73,20.84,False,3031.2
71,Oromia,Sorghum,8.4,76.9,False,1382.79
72,SNNP,Sorghum,3.09,97.53,False,2617.6
73,Oromia,Teff,5.42,130.44,False,853.33
74,Sidama,Teff,3.34,190.11,True,1295.77
75,Amhara,Wheat,9.44,120.13,False,2687.14
76,SNNP,Coffee,2.96,148.72,False,782.63
77,Amhara,Maize,4.58,101.25,False,2903.65
78,SNNP,Teff,8.79,126.82,False,826.27
79,Sidama,Sorghum,8.5,14.19,False,3053.86
80,Amhara,Wheat,2.27,50.88,True,2145.96
81,Tigray,Maize,8.13,72.37,False,1722.05
82,SNNP,Wheat,4.85,94.5,False,2363.8
83,Tigray,Maize,5.09,9.13,False,1452.42
84,Amhara,Maize,1.77,28.0,False,2627.09
85,Tigray,Teff,1.27,55.36,False,1122.22
86,Tigray,Wheat,7.42,194.31,True,3116.84
87,Amhara,Wheat,5.22,66.27,False,2824.46
88,Sidama,Sorghum,4.65,96.41,True,1804.0
89,Tigray,Sorghum,7.43,39.22,False,2080.81
90,Tigray,Teff,7.77,122.16,False,1356.2
91,Sidama,Teff,2.01,56.14,False,1454.12
92,Tigray,Coffee,6.3,41.4,False,1044.5
93,Tigray,Sorghum,1.79,103.31,False,3107.25
94,Tigray,Maize,7.64,1.1,True,2455.24
95,Oromia,Wheat,6.74,1.53,False,2681.33
96,Sidama,Teff,9.59,43.81,True,1589.62
97,Tigray,Wheat,1.16,7.34,False,2348.35
98,Sidama,Wheat,1.04,21.61,True,2689.86
99,SNNP,Coffee,3.18,67.77,True,734.62
100,SNNP,Sorghum,2.99,160.52,False,2224.53
101,Tigray,Teff,2.85,114.41,True,1214.52
102,Sidama,Wheat,9.11,102.53,False,2156.23
103,Sidama,Teff,2.87,58.7,False,1160.73
104,Sidama,Maize,3.08,186.35,True,1982.52
105,Oromia,Coffee,7.71,79.4,False,762.0
106,SNNP,Maize,4.77,17.42,True,2724.2
107,Sidama,Teff,7.88,123.41,True,1023.37
108,Sidama,Teff,1.12,22.77,False,1202.79
109,Oromia,Sorghum,5.13,69.04,True,2569.67
110,Oromia,Wheat,0.82,101.48,False,2726.27
111,Sidama,Wheat,1.1,174.84,True,2433.21
112,Amhara,Maize,9.11,98.71,True,3042.93
113,Sidama,Coffee,1.82,140.45,False,379.82
114,Sidama,Wheat,5.56,198.56,False,3968.88
115,Oromia,Sorghum,4.41,26.3,True,2064.43
116,Oromia,Maize,3.8,54.95,False,2701.7
117,Sidama,Maize,9.05,78.92,True,2030.77
118,Sidama,Sorghum,0.71,84.37,False,2822.13
119,Sidama,Coffee,6.81,82.2,False,855.31
120,Oromia,Sorghum,9.65,181.52,False,2174.64
121,Sidama,Coffee,5.82,142.81,False,1014.62
122,Sidama,Sorghum,9.4,121.58,False,2418.02
123,Tigray,Sorghum,1.0,61.87,False,2773.61
124,Amhara,Teff,4.48,164.76,False,924.85
125,SNNP,Maize,2.97,191.01,False,2484.56
126,Amhara,Sorghum,7.44,164.24,True,3501.7
127,Tigray,Sorghum,9.82,0.31,False,2981.48
128,SNNP,Wheat,2.94,127.28,False,2653.81
129,Sidama,Maize,6.71,10.23,False,2275.54
130,Tigray,Wheat,2.38,51.52,False,2533.75
131,Sidama,Maize,5.87,11.9,False,2598.78
132,Oromia,Wheat,4.91,120.76,True,2724.61
133,Tigray,Sorghum,9.73,137.32,True,1961.67
134,Oromia,Sorghum,6.28,22.9,False,2834.2
135,Tigray,Teff,3.82,76.77,False,873.12
136,Tigray,Wheat,1.58,91.25,False,3315.56
137,Oromia,Coffee,1.94,73.81,False,645.67
138,SNNP,Teff,2.64,24.21,False,1288.99
139,Amhara,Wheat,2.88,83.79,False,3002.57
140,Sidama,Wheat,8.58,150.24,True,2373.81
141,Tigray,Teff,5.83,14.2,True,1302.18
142,Sidama,Sorghum,5.47,16.04,False,3217.59
143,Oromia,Wheat,1.59,70.95,False,2782.2
144,Sidama,Sorghum,8.67,188.35,True,2677.78
145,Oromia,Teff,7.37,133.71,False,694.56
146,Sidama,Sorghum,1.14,135.73,False,2033.14
147,Amhara,Maize,7.22,72.38,False,3023.46
148,Amhara,Coffee,5.66,118.73,False,913.99
149,Amhara,Wheat,1.28,2.03,False,2860.73
150,Amhara,Coffee,4.85,127.22,True,927.08
151,Amhara,Sorghum,5.1,182.66,False,3144.88
152,Amhara,Wheat,2.07,122.51,False,2369.3
153,Oromia,Sorghum,9.48,174.74,True,2560.25
154,Tigray,Maize,8.57,144.79,False,1985.66
155,Sidama,Teff,6.86,24.11,False,816.59
156,Amhara,Wheat,4.89,180.49,False,1678.13
157,Oromia,Maize,4.41,13.29,False,2057.42
158,Oromia,Maize,6.68,106.79,True,3276.28
159,Oromia,Wheat,5.68,28.43,False,1723.64
160,Tigray,Sorghum,1.09,2.34,False,2348.23
161,Sidama,Maize,5.37,84.41,False,1853.43
162,Tigray,Coffee,8.16,59.01,True,679.81
163,SNNP,Maize,4.86,97.2,False,2584.85
164,Oromia,Sorghum,0.99,115.44,False,2149.94
165,SNNP,Sorghum,7.97,8.75,True,3044.83
166,Amhara,Coffee,2.41,24.6,True,1106.8
167,Amhara,Maize,2.96,111.73,False,1375.45
168,Tigray,Sorghum,2.06,68.63,False,2158.5
169,Sidama,Wheat,3.64,145.83,False,2529.57
170,SNNP,Teff,7.69,130.46,False,1537.84
171,Sidama,Teff,5.43,169.12,False,1063.73
172,Tigray,Teff,2.45,138.5,False,1194.02
173,Amhara,Maize,8.84,85.99,True,1921.63
174,Sidama,Coffee,8.86,134.59,False,493.44
175,Sidama,Sorghum,8.77,55.08,True,3222.69
176,Amhara,Wheat,2.77,61.26,False,1587.97
177,SNNP,Wheat,4.79,157.8,True,3664.31
178,Amhara,Maize,9.86,89.28,True,2862.58
179,Sidama,Teff,7.83,159.68,False,1403.99
180,SNNP,Maize,0.76,164.48,True,2787.73
181,SNNP,Coffee,1.12,171.51,False,749.46
182,Amhara,Coffee,4.91,183.33,True,878.42
183,Sidama,Sorghum,9.14,86.2,False,2405.55
184,Tigray,Sorghum,5.62,63.77,False,2776.54
185,Sidama,Coffee,5.23,116.44,True,793.26
186,Oromia,Coffee,1.5,74.23,True,609.93
187,Tigray,Coffee,6.74,120.21,False,625.89
188,SNNP,Maize,8.31,141.12,False,2007.86
189,Tigray,Coffee,4.11,137.68,False,994.18
190,SNNP,Wheat,7.87,74.91,False,2191.28
191,SNNP,Teff,9.66,33.37,False,626.37
192,Tigray,Coffee,2.44,86.11,True,879.37
193,SNNP,Teff,5.47,28.52,False,1654.36
194,SNNP,Maize,3.23,178.02,False,2886.54
195,Oromia,Teff,8.03,69.18,False,1019.0
196,Sidama,Maize,5.99,30.89,False,1706.59
197,Sidama,Wheat,6.53,5.09,False,2432.87
198,Oromia,Maize,8.08,129.16,False,2420.39
199,Tigray,Maize,4.26,127.38,False,2015.4
200,Amhara,Sorghum,9.19,68.12,False,2775.52
201,Amhara,Coffee,5.56,14.34,False,1169.33
202,Amhara,Coffee,2.0,81.93,True,844.46
203,Oromia,Wheat,7.11,62.24,True,2580.24
204,Oromia,Wheat,8.04,135.42,False,2031.39
205,SNNP,Coffee,3.51,121.16,False,1079.48
206,Amhara,Sorghum,8.64,72.92,True,2462.43
