date,region,avg_temperature_c,max_temperature_c,min_temperature_c,rainfall_mm,humidity_percent
2023-01-01,Oromia,24.15,27.07,8.27,2.14,74
2023-01-02,Amhara,18.42,32.14,18.79,0.0,55
2023-01-03,Sidama,27.5,23.16,17.63,0.87,51
2023-01-04,SNNP,21.91,23.18,16.06,0.0,87
2023-01-05,Amhara,22.04,24.28,20.25,2.59,92
2023-01-06,Amhara,30.64,27.96,20.85,0.0,57
2023-01-07,Sidama,16.62,22.57,19.2,6.12,94
2023-01-08,SNNP,23.08,31.81,12.6,0.0,73
2023-01-09,Oromia,21.1,24.3,12.74,0.0,72
2023-01-10,Sidama,24.66,28.9,20.47,0.0,66
2023-01-11,SNNP,31.65,25.68,8.49,2.49,46
2023-01-12,Amhara,18.97,27.74,15.4,0.0,69
2023-01-13,SNNP,16.01,21.59,17.76,0.0,67
2023-01-14,Amhara,17.95,32.01,9.0,0.0,90
2023-01-15,Sidama,20.84,24.15,16.94,2.12,38
2023-01-16,Sidama,22.32,23.74,19.82,0.0,90
2023-01-17,Tigray,22.57,37.52,10.06,0.53,45
2023-01-18,Tigray,31.01,30.22,22.63,5.63,31
2023-01-19,Tigray,30.12,31.85,11.96,0.0,72
2023-01-20,Sidama,28.51,29.84,18.3,0.0,71
2023-01-21,Oromia,34.57,26.19,15.67,0.91,86
2023-01-22,Sidama,26.12,22.77,16.28,4.67,59
2023-01-23,SNNP,27.54,26.8,10.87,0.0,42
2023-01-24,Sidama,26.02,24.09,21.04,0.11,48
2023-01-25,Sidama,25.2,24.33,17.3,0.19,36
2023-01-26,Amhara,23.97,21.67,22.48,0.0,38
2023-01-27,Amhara,20.02,28.46,10.97,0.0,83
2023-01-28,Amhara,15.77,34.29,15.28,11.23,90
2023-01-29,Sidama,21.35,30.23,16.84,1.29,31
2023-01-30,Oromia,24.83,27.58,16.24,0.0,79
2023-01-31,SNNP,22.36,27.84,18.67,1.85,60
2023-02-01,SNNP,16.67,15.81,15.22,0.0,62
2023-02-02,Oromia,21.17,26.3,24.49,6.03,40
2023-02-03,Oromia,20.91,22.29,16.16,0.0,62
2023-02-04,SNNP,21.69,28.54,4.46,0.4,36
2023-02-05,Tigray,24.45,26.96,16.34,0.0,60
2023-02-06,Amhara,25.53,24.52,21.05,0.0,77
2023-02-07,Amhara,19.5,28.45,12.31,0.0,76
2023-02-08,SNNP,26.91,28.41,12.05,0.0,82
2023-02-09,Oromia,27.66,34.07,12.64,8.27,48
2023-02-10,Tigray,23.6,30.75,11.69,0.0,35
2023-02-11,SNNP,25.32,28.87,14.08,0.0,78
2023-02-12,Amhara,26.92,24.21,19.64,0.0,79
2023-02-13,Sidama,16.51,23.71,22.11,9.95,41
2023-02-14,Oromia,27.27,30.4,6.3,0.0,52
2023-02-15,Sidama,18.05,27.2,14.49,0.0,83
2023-02-16,SNNP,18.54,29.0,17.21,0.0,88
2023-02-17,Amhara,22.98,31.91,16.81,9.94,65
