school_id,region,woreda,school_level,total_enrollment,female_enrollment,num_teachers,distance_from_town_km,has_electricity,has_internet
SCH-1000,Amhara,Woreda-17,Primary,1338,504,10,23.1,True,False
SCH-1001,Tigray,Woreda-36,Preparatory,528,528,36,9.0,False,False
SCH-1002,Amhara,Woreda-21,Primary,890,705,35,1.8,False,False
SCH-1003,Sidama,Woreda-8,Primary,846,533,14,5.5,True,True
SCH-1004,Amhara,Woreda-5,Preparatory,466,407,34,10.8,False,False
SCH-1005,Amhara,Woreda-26,Primary,412,412,22,5.9,True,False
SCH-1006,Amhara,Woreda-16,Secondary,637,210,28,0.5,True,False
SCH-1007,Oromia,Woreda-36,Secondary,1020,173,13,22.9,True,False
SCH-1008,Oromia,Woreda-28,Secondary,1177,466,35,21.2,True,False
SCH-1009,Sidama,Woreda-29,Primary,964,64,19,18.7,False,False
SCH-1010,Amhara,Woreda-47,Secondary,1287,569,8,4.6,False,False
SCH-1011,SNNP,Woreda-12,Secondary,881,229,13,3.4,True,False
SCH-1012,Sidama,Woreda-37,Secondary,433,180,13,2.2,True,False
SCH-1013,Amhara,Woreda-30,Secondary,897,594,30,18.2,False,True
SCH-1014,Amhara,Woreda-23,Secondary,447,447,8,23.3,True,True
SCH-1015,Oromia,Woreda-16,Secondary,372,354,21,11.0,True,False
SCH-1016,Sidama,Woreda-14,Primary,1062,483,20,3.4,True,False
SCH-1017,Amhara,Woreda-10,Secondary,819,358,19,13.1,False,False
SCH-1018,Amhara,Woreda-7,Secondary,599,480,39,9.0,True,True
SCH-1019,Sidama,Woreda-45,Preparatory,1216,131,9,9.7,False,False
SCH-1020,SNNP,Woreda-37,Primary,784,218,9,15.7,False,False
SCH-1021,Sidama,Woreda-29,Primary,178,95,24,18.1,True,False
SCH-1022,Sidama,Woreda-3,Primary,721,194,19,3.2,True,True
SCH-1023,SNNP,Woreda-15,Primary,1340,711,22,1.4,False,False
SCH-1024,Sidama,Woreda-36,Secondary,1046,150,6,24.9,True,False
SCH-1025,Amhara,Woreda-47,Secondary,457,176,33,6.2,False,False
SCH-1026,Sidama,Woreda-46,Preparatory,717,271,17,1.8,False,False
SCH-1027,SNNP,Woreda-19,Preparatory,606,507,8,5.2,True,False
SCH-1028,Tigray,Woreda-13,Primary,1304,771,14,1.5,False,False
SCH-1029,Sidama,Woreda-42,Preparatory,675,520,35,10.1,False,False
SCH-1030,Oromia,Woreda-21,Preparatory,1369,107,12,20.2,False,True
SCH-1031,Amhara,Woreda-37,Primary,343,288,7,8.9,True,False
SCH-1032,Amhara,Woreda-27,Primary,605,362,13,11.4,True,False
SCH-1033,Oromia,Woreda-29,Preparatory,521,521,34,17.1,True,False
SCH-1034,Oromia,Woreda-20,Secondary,1443,471,15,13.0,False,False
SCH-1035,Sidama,Woreda-25,Preparatory,1210,526,39,21.6,True,False
SCH-1036,Oromia,Woreda-6,Preparatory,316,316,17,21.7,False,False
SCH-1037,Tigray,Woreda-36,Secondary,1401,468,17,0.7,True,True
SCH-1038,SNNP,Woreda-2,Secondary,1108,308,16,19.6,True,False
SCH-1039,Oromia,Woreda-22,Primary,1292,748,14,11.8,True,False
SCH-1040,Oromia,Woreda-32,Primary,429,429,13,24.7,False,False
SCH-1041,Tigray,Woreda-16,Preparatory,749,187,11,12.3,True,False
SCH-1042,Amhara,Woreda-18,Secondary,490,157,6,24.7,True,True
SCH-1043,Amhara,Woreda-5,Primary,480,406,27,19.0,True,False
SCH-1044,Sidama,Woreda-36,Preparatory,1429,105,25,6.6,False,False
SCH-1045,Tigray,Woreda-30,Secondary,841,409,27,13.7,True,True
SCH-1046,SNNP,Woreda-45,Preparatory,919,214,33,24.8,True,False
SCH-1047,SNNP,Woreda-19,Primary,772,627,18,21.5,False,False
SCH-1048,Tigray,Woreda-23,Primary,612,534,30,2.9,False,True
SCH-1049,SNNP,Woreda-34,Secondary,1048,153,9,17.8,False,False
SCH-1050,Amhara,Woreda-13,Preparatory,1311,150,35,9.0,True,False
SCH-1051,SNNP,Woreda-43,Secondary,1029,478,29,0.7,True,False
SCH-1052,SNNP,Woreda-29,Primary,1012,754,35,10.4,False,False
SCH-1053,Tigray,Woreda-36,Primary,743,186,24,6.3,True,True
SCH-1054,Tigray,Woreda-22,Preparatory,526,74,21,20.6,False,True
SCH-1055,SNNP,Woreda-47,Preparatory,601,348,6,8.8,True,False
SCH-1056,Oromia,Woreda-36,Preparatory,829,577,29,20.8,True,False
SCH-1057,Tigray,Woreda-9,Secondary,1383,789,17,0.5,True,False
SCH-1058,Sidama,Woreda-39,Preparatory,170,53,32,8.0,True,True
SCH-1059,Sidama,Woreda-19,Preparatory,577,413,10,6.4,True,False
SCH-1060,Amhara,Woreda-38,Primary,1301,596,7,6.2,True,False
SCH-1061,SNNP,Woreda-6,Primary,556,467,39,2.2,False,False
SCH-1062,Oromia,Woreda-47,Preparatory,288,288,22,5.1,True,False
SCH-1063,Amhara,Woreda-15,Preparatory,390,272,15,14.1,False,True
SCH-1064,SNNP,Woreda-20,Primary,1019,744,24,7.6,False,False
SCH-1065,Tigray,Woreda-9,Preparatory,391,391,9,10.7,True,False
SCH-1066,Sidama,Woreda-32,Secondary,855,765,23,9.7,True,False
SCH-1067,Oromia,Woreda-4,Secondary,1406,702,26,22.0,False,False
SCH-1068,Sidama,Woreda-18,Secondary,476,476,23,22.7,True,False
SCH-1069,Tigray,Woreda-5,Preparatory,1279,541,20,12.6,False,False
SCH-1070,SNNP,Woreda-20,Primary,607,314,28,8.6,False,False
SCH-1071,Tigray,Woreda-23,Preparatory,627,115,8,3.1,False,False
SCH-1072,Tigray,Woreda-11,Preparatory,1478,478,19,23.9,True,False
SCH-1073,Sidama,Woreda-37,Primary,658,658,29,2.0,True,False
SCH-1074,Oromia,Woreda-22,Primary,1310,738,39,7.8,True,False
SCH-1075,Tigray,Woreda-4,Primary,1154,328,18,7.8,True,False
SCH-1076,Sidama,Woreda-29,Secondary,359,359,23,8.3,False,False
SCH-1077,Oromia,Woreda-44,Preparatory,520,520,11,4.5,True,False
SCH-1078,SNNP,Woreda-34,Primary,403,292,34,19.7,True,True
SCH-1079,SNNP,Woreda-13,Preparatory,1041,165,23,3.5,False,False
SCH-1080,Amhara,Woreda-42,Secondary,1162,216,29,16.1,True,False
SCH-1081,Sidama,Woreda-9,Secondary,641,76,20,3.5,True,False
SCH-1082,Oromia,Woreda-42,Primary,1401,449,12,2.2,True,False
SCH-1083,Tigray,Woreda-31,Primary,1326,650,22,22.8,False,False
SCH-1084,SNNP,Woreda-7,Preparatory,1189,649,32,5.2,True,False
SCH-1085,Oromia,Woreda-4,Primary,207,166,20,20.6,False,False
SCH-1086,Sidama,Woreda-19,Preparatory,367,367,23,13.8,True,False
SCH-1087,Amhara,Woreda-42,Primary,321,207,21,2.4,False,False
SCH-1088,SNNP,Woreda-30,Preparatory,1213,631,17,23.9,False,False
SCH-1089,Oromia,Woreda-31,Preparatory,792,333,11,6.6,True,False
SCH-1090,Oromia,Woreda-35,Preparatory,354,354,31,21.6,True,True
SCH-1091,Oromia,Woreda-21,Preparatory,352,352,14,4.6,True,False
SCH-1092,Sidama,Woreda-31,Secondary,356,349,38,21.4,False,False
SCH-1093,Sidama,Woreda-19,Preparatory,482,482,29,0.8,True,False
SCH-1094,Sidama,Woreda-31,Primary,541,541,10,13.0,True,False
SCH-1095,Tigray,Woreda-32,Secondary,698,579,28,19.4,True,False
SCH-1096,Oromia,Woreda-2,Secondary,1213,458,22,23.4,True,False
SCH-1097,SNNP,Woreda-10,Preparatory,489,483,27,22.8,True,False
SCH-1098,Sidama,Woreda-2,Secondary,681,681,10,20.6,True,False
SCH-1099,Sidama,Woreda-2,Preparatory,1167,597,33,22.3,True,False
SCH-1100,Oromia,Woreda-24,Primary,697,275,29,5.4,False,True
SCH-1101,Sidama,Woreda-17,Preparatory,118,118,21,7.5,False,False
