transaction_id,date,region,transaction_type,amount_etb,channel,is_rural
1000,2023-04-13,Oromia,Payment,26283.99,Mobile App,True
1001,2023-12-15,Amhara,Withdrawal,12567.96,Mobile App,True
1002,2023-09-28,Addis Ababa,Withdrawal,75340.54,Mobile App,True
1003,2023-04-17,Tigray,Deposit,942.92,Agent,False
1004,2023-03-13,Addis Ababa,Transfer,11031.18,Agent,True
1005,2023-07-08,Addis Ababa,Deposit,3924.57,USSD,True
1006,2023-01-21,Amhara,Withdrawal,79594.83,USSD,True
1007,2023-04-13,Addis Ababa,Withdrawal,886.74,Mobile App,False
1008,2023-05-02,Oromia,Deposit,845.91,POS,True
1009,2023-08-03,Oromia,Transfer,1213.07,POS,False
1010,2023-11-27,SNNP,Deposit,123.24,Agent,True
1011,2023-03-29,Sidama,Deposit,1354.74,Agent,True
1012,2023-04-10,Tigray,Transfer,954.61,Agent,True
1013,2023-12-26,Addis Ababa,Withdrawal,3735.33,USSD,True
1014,2023-06-01,Addis Ababa,Deposit,4977.26,USSD,True
1015,2023-05-11,Amhara,Withdrawal,49724.66,Agent,True
1016,2023-05-30,Sidama,Transfer,12402.28,Agent,False
1017,2023-11-05,Oromia,Deposit,1254.69,Agent,True
1018,2023-09-15,Tigray,Transfer,774.62,POS,True
1019,2023-12-10,SNNP,Deposit,6234.66,USSD,True
1020,2023-10-21,Oromia,Deposit,411.43,POS,True
1021,2023-07-11,Sidama,Withdrawal,46499.1,POS,True
1022,2023-10-04,SNNP,Withdrawal,17486.08,Agent,True
1023,2023-06-10,Amhara,Transfer,1474.74,Agent,True
1024,2023-11-10,Amhara,Transfer,228.22,Mobile App,False
1025,2023-01-22,Addis Ababa,Payment,22715.63,Mobile App,False
1026,2023-09-10,Sidama,Withdrawal,2510.38,POS,True
1027,2023-08-24,Tigray,Withdrawal,19086.27,USSD,True
1028,2023-12-11,SNNP,Transfer,272.7,Agent,False
1029,2023-02-18,Oromia,Deposit,1213.1,Agent,True
1030,2023-02-28,Sidama,Withdrawal,3004.5,POS,True
1031,2023-06-19,Sidama,Deposit,3198.61,Mobile App,True
1032,2023-07-07,Amhara,Deposit,1517.62,USSD,False
1033,2023-09-28,Addis Ababa,Payment,7587.63,Mobile App,False
1034,2023-07-09,Addis Ababa,Transfer,600.98,Mobile App,True
1035,2023-06-24,SNNP,Transfer,2407.71,Mobile App,True
1036,2023-02-20,Amhara,Withdrawal,3570.44,Mobile App,True
1037,2023-12-30,Sidama,Deposit,6448.86,Agent,False
1038,2023-02-24,Tigray,Deposit,8668.25,Agent,True
1039,2023-09-01,Amhara,Deposit,551.72,Mobile App,True
1040,2023-11-16,SNNP,Withdrawal,298.52,USSD,False
1041,2023-05-11,SNNP,Transfer,20262.26,POS,True
1042,2023-11-03,Amhara,Transfer,4907.26,USSD,False
1043,2023-05-15,SNNP,Deposit,969.97,USSD,True
1044,2023-01-21,Amhara,Payment,30538.03,USSD,True
1045,2023-11-25,Oromia,Transfer,3545.77,Mobile App,True
1046,2023-06-16,Amhara,Transfer,17482.33,Agent,False
1047,2023-10-01,Amhara,Transfer,3298.68,USSD,False
1048,2023-03-30,SNNP,Withdrawal,65586.29,Mobile App,False
1049,2023-11-12,SNNP,Deposit,41481.85,USSD,True
1050,2023-01-14,Addis Ababa,Withdrawal,2051.97,USSD,False
1051,2023-08-30,Addis Ababa,Transfer,12802.0,Mobile App,True
1052,2023-09-22,Oromia,Deposit,7848.39,Agent,True
1053,2023-12-12,Addis Ababa,Deposit,23224.14,Agent,False
1054,2023-02-22,Amhara,Deposit,701.07,POS,True
1055,2023-12-06,SNNP,Deposit,8342.16,Mobile App,True
1056,2023-04-02,Addis Ababa,Payment,14583.36,POS,True
1057,2023-09-21,Addis Ababa,Transfer,213.13,POS,True
1058,2023-02-04,Oromia,Withdrawal,505.28,POS,True
1059,2023-07-25,Sidama,Deposit,139.93,Agent,True
1060,2023-03-22,Oromia,Withdrawal,1990.0,Mobile App,True
1061,2023-02-19,Amhara,Withdrawal,8745.66,POS,False
1062,2023-12-26,SNNP,Deposit,28382.71,Mobile App,False
1063,2023-01-02,Oromia,Withdrawal,3331.38,Mobile App,True
1064,2023-02-23,Addis Ababa,Withdrawal,34300.78,Agent,True
1065,2023-04-16,SNNP,Transfer,376.1,POS,True
1066,2023-09-17,SNNP,Transfer,231.58,POS,True
1067,2023-11-06,Addis Ababa,Deposit,2742.65,Mobile App,True
1068,2023-07-10,Oromia,Withdrawal,5303.37,USSD,False
1069,2023-08-06,Addis Ababa,Transfer,2838.29,Agent,True
