region,zone,facility_name,num_patients_per_month,disease,prevalence_per_1000,distance_to_major_road_km,staff_count,has_lab
SNNP,Zone-4,Clinic-1,503,Malaria,85.7,20.0,6,False
Sidama,Zone-3,Clinic-2,1152,HIV,65.3,9.8,7,False
Oromia,Zone-3,Clinic-3,1915,Hypertension,67.2,26.9,24,True
Amhara,Zone-6,Clinic-4,437,Malaria,83.4,26.7,6,False
SNNP,Zone-4,Clinic-5,930,Malaria,106.0,9.8,20,True
SNNP,Zone-6,Clinic-6,813,HIV,106.8,27.0,8,False
Sidama,Zone-3,Clinic-7,460,Diabetes,29.9,29.9,24,False
Oromia,Zone-4,Clinic-8,668,TB,77.5,24.8,4,False
Oromia,Zone-9,Clinic-9,1515,Diabetes,64.7,25.4,13,False
Sidama,Zone-5,Clinic-10,317,HIV,131.2,7.5,16,False
Oromia,Zone-7,Clinic-11,1697,TB,96.6,17.3,7,True
Tigray,Zone-2,Clinic-12,1792,Diabetes,82.2,2.1,8,True
Amhara,Zone-5,Clinic-13,301,TB,21.7,2.9,12,False
SNNP,Zone-9,Clinic-14,116,Malaria,92.8,30.0,10,False
Amhara,Zone-3,Clinic-15,421,Diabetes,22.0,9.9,16,False
SNNP,Zone-9,Clinic-16,617,TB,53.9,22.5,5,True
Tigray,Zone-6,Clinic-17,1693,TB,25.7,24.2,14,False
Oromia,Zone-4,Clinic-18,1448,TB,105.4,25.8,18,False
Sidama,Zone-7,Clinic-19,1535,Diabetes,34.9,29.9,19,False
Tigray,Zone-8,Clinic-20,1441,Hypertension,61.8,7.3,3,True
Amhara,Zone-6,Clinic-21,780,Diabetes,134.9,1.3,12,True
Sidama,Zone-5,Clinic-22,1205,HIV,34.6,12.4,12,False
Oromia,Zone-6,Clinic-23,1597,Diabetes,78.6,4.0,23,False
Tigray,Zone-5,Clinic-24,1591,TB,65.8,0.8,4,True
Sidama,Zone-8,Clinic-25,524,Malaria,7.6,10.9,11,False
Tigray,Zone-1,Clinic-26,1854,Diabetes,119.9,23.5,24,False
Tigray,Zone-7,Clinic-27,1812,Diabetes,15.0,17.0,15,False
Oromia,Zone-2,Clinic-28,1327,TB,73.8,9.5,18,False
SNNP,Zone-9,Clinic-29,1706,Malaria,86.3,19.7,20,True
Sidama,Zone-1,Clinic-30,1118,Malaria,96.1,7.0,21,True
Oromia,Zone-6,Clinic-31,486,HIV,104.9,0.5,14,False
Tigray,Zone-9,Clinic-32,877,Diabetes,41.7,23.0,10,False
Oromia,Zone-1,Clinic-33,197,Malaria,6.4,18.7,19,True
SNNP,Zone-4,Clinic-34,1468,Malaria,109.9,22.9,17,True
Sidama,Zone-4,Clinic-35,1926,Hypertension,82.7,1.3,12,False
SNNP,Zone-9,Clinic-36,307,Hypertension,126.2,25.1,17,True
Amhara,Zone-5,Clinic-37,1637,Malaria,124.1,18.6,17,True
Sidama,Zone-5,Clinic-38,1759,HIV,127.3,16.9,9,True
SNNP,Zone-6,Clinic-39,1915,Malaria,75.3,18.8,15,True
Tigray,Zone-1,Clinic-40,685,TB,53.4,25.9,19,False
Sidama,Zone-1,Clinic-41,265,Diabetes,119.8,17.6,11,False
Sidama,Zone-9,Clinic-42,121,HIV,70.4,17.5,10,False
Oromia,Zone-3,Clinic-43,253,TB,31.6,29.7,22,True
Tigray,Zone-4,Clinic-44,1562,HIV,129.0,22.7,23,True
Amhara,Zone-1,Clinic-45,1418,TB,133.0,13.3,20,False
SNNP,Zone-9,Clinic-46,318,Diabetes,72.6,21.3,15,False
Oromia,Zone-8,Clinic-47,768,Diabetes,16.0,11.7,18,False
SNNP,Zone-2,Clinic-48,1618,Hypertension,61.2,6.9,11,True
Amhara,Zone-8,Clinic-49,329,TB,121.5,17.9,14,False
Amhara,Zone-7,Clinic-50,119,Hypertension,135.8,27.9,14,True
Sidama,Zone-6,Clinic-51,652,TB,34.5,27.9,8,False
Amhara,Zone-1,Clinic-52,1049,Hypertension,14.7,10.3,21,False
SNNP,Zone-7,Clinic-53,247,Diabetes,132.2,15.9,9,False
Tigray,Zone-7,Clinic-54,1231,HIV,61.5,6.4,5,True
Tigray,Zone-9,Clinic-55,502,Hypertension,83.6,29.9,18,False
Sidama,Zone-1,Clinic-56,695,TB,145.4,29.4,20,False
SNNP,Zone-2,Clinic-57,1606,TB,14.7,19.5,18,True
SNNP,Zone-9,Clinic-58,466,Diabetes,99.0,24.2,9,True
Amhara,Zone-9,Clinic-59,1957,TB,15.7,21.5,6,True
SNNP,Zone-6,Clinic-60,1537,Malaria,59.4,17.8,10,False
Oromia,Zone-6,Clinic-61,1432,HIV,121.6,1.7,15,True
