route_name,start_stop,end_stop,departure_time,travel_duration_min,passenger_count,day_of_week,is_peak_hour
Anbessa Route 5,Cemit,Harmony,14:14,19,48,Mon,False
Blue Star,Sarbet,Piazza,07:05,64,22,Thu,False
Blue Star,Cemit,Piazza,06:47,99,22,Tue,True
Ride,Kazanchis,Kality,06:56,72,49,Thu,False
Anbessa Route 1,Cemit,Gulele,09:08,93,52,Fri,False
Anbessa Route 5,Leghar,Piazza,16:04,98,37,Wed,False
Ride,Cemit,Harmony,12:32,22,27,Thu,False
Anbessa Route 1,Leghar,Lideta,11:55,45,28,Fri,True
Habesha,Sarbet,Piazza,19:16,26,47,Fri,False
Anbessa Route 5,Sarbet,Harmony,14:18,35,41,Fri,True
Anbessa Route 5,Sarbet,Kality,06:00,108,31,Wed,False
Blue Star,Cemit,Lideta,18:45,76,11,Wed,True
Gelila,Sarbet,Harmony,16:05,105,22,Sun,False
Anbessa Route 1,Cemit,Piazza,16:05,104,32,Wed,False
Anbessa Route 5,Cemit,Gulele,06:29,47,34,Tue,False
Anbessa Route 1,Mexico,Lideta,19:34,40,37,Wed,True
Ride,Mexico,Lideta,12:09,104,20,Wed,True
Ride,Cemit,Gulele,08:18,114,42,Wed,False
Gelila,Leghar,Lideta,08:27,54,33,Thu,False
Anbessa Route 5,Kazanchis,Piazza,12:03,79,11,Wed,False
Blue Star,Ayat,Lideta,09:18,73,39,Tue,True
Anbessa Route 5,Mexico,Piazza,15:26,29,26,Fri,False
Anbessa Route 1,Cemit,Gulele,14:33,15,49,Thu,False
Habesha,Ayat,Bole,09:55,25,43,Mon,False
Ride,Mexico,Gulele,11:06,69,47,Wed,False
Anbessa Route 1,Kazanchis,Piazza,18:06,16,31,Sun,False
Gelila,Leghar,Kality,07:51,79,14,Sun,True
Ride,Cemit,Gulele,15:25,109,57,Fri,True
Blue Star,Kazanchis,Kality,11:18,58,49,Fri,False
Ride,Mexico,Kality,14:19,30,25,Thu,True
Habesha,Cemit,Piazza,15:44,36,22,Sun,False
Anbessa Route 5,Ayat,Piazza,07:15,32,35,Mon,False
Habesha,Sarbet,Bole,11:16,61,40,Sat,False
Habesha,Leghar,Harmony,11:12,95,48,Sun,False
Anbessa Route 5,Mexico,Lideta,17:09,44,57,Sun,True
Ride,Leghar,Gulele,06:31,24,32,Tue,True
Gelila,Cemit,Piazza,19:07,113,57,Sat,False
Anbessa Route 5,Sarbet,Gulele,10:21,72,21,Fri,True
Anbessa Route 5,Kazanchis,Harmony,07:01,76,23,Sat,False
Blue Star,Leghar,Harmony,17:08,99,27,Sun,False
Ride,Ayat,Kality,08:53,94,36,Fri,True
